brand,series_name,marketing_name,generation_year,panel_tech,tier,os,model_code_base,resolution,refresh_rate_native,hdr_formats,processor,dimming,peak_brightness_nits,sku_full,size_inch,region,price_msrp,gaming_features,connectivity
삼성,QN900,Neo QLED 8K,2024,Neo-QLED,flagship,Tizen,QN900D,8K,240,HDR10+|HLG,NQ8 AI Gen3,mini-led,2200,KQ65QNA900DXKR,65,KR,,VRR|ALLM|240Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN800,Neo QLED 8K,2024,Neo-QLED,high,Tizen,QN800D,8K,240,HDR10+|HLG,NQ8 AI Gen3,mini-led,1600,KQ65QNA800DXKR,65,KR,,VRR|ALLM|240Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN90,Neo QLED 4K,2024,Neo-QLED,flagship,Tizen,QN90D,4K,144,HDR10+|HLG,NQ4 AI Gen2,mini-led,2500,KQ65QNA90DXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,QN85,Neo QLED 4K,2024,Neo-QLED,high,Tizen,QN85D,4K,120,HDR10+|HLG,NQ4 AI Gen2,mini-led,1400,KQ65QNA85DXKR,65,KR,,VRR|ALLM|120Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S95,OLED,2024,QD-OLED,flagship,Tizen,S95D,4K,144,HDR10+|HLG,NQ4 AI Gen2,per-pixel,1900,KQ65SD95DXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S90,OLED,2024,QD-OLED,high,Tizen,S90D,4K,144,HDR10+|HLG,NQ4 AI Gen2,per-pixel,1000,KQ65SD90DXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,DU8000,Crystal UHD,2024,LED-LCD,mid,Tizen,DU8000,4K,60,HDR10+|HLG,Crystal 4K,edge-lit,500,KU65DU8000FXKR,65,KR,,ALLM|60Hz,HDMI2.0 x3|eARC|WiFi|Bluetooth
삼성,QN95,Neo QLED 4K,2023,Neo-QLED,flagship,Tizen,QN95C,4K,144,HDR10+|HLG,NQ4 AI Gen2,mini-led,2000,KQ65QNC95CFXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
삼성,S95,OLED,2023,QD-OLED,flagship,Tizen,S95C,4K,144,HDR10+|HLG,NQ4 AI Gen2,per-pixel,1350,KQ65SC95CFXKR,65,KR,,VRR|ALLM|144Hz|FreeSync Premium Pro,HDMI2.1 x4|eARC|WiFi|Bluetooth
LG,G,OLED evo G4,2024,WOLED,flagship,webOS,G4,4K,144,Dolby Vision|HDR10|HLG,α11 AI,per-pixel,1500,OLED65G4KNA,65,KR,,VRR|ALLM|144Hz|G-Sync|FreeSync|Dolby Vision Gaming,HDMI2.1 x4|eARC|WiFi|Bluetooth
